,"Dementia care facilities [hospitals]","Total density per 100 000 population: Hospitals","Total density per 100 000 population: Hospitals","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Hospital beds (per 10 000 population)","Dementia-specific hospital beds (per 10,000 population)","Geriatric-specific hospital beds (per 10,000 population)","Total dementia hospital admissions (per 100,000)","Estimated percentage of hospitals following national dementia standards"
"Jamaica","","","0.75","17.2","17.8","16.9","","16.6","","","",""
"Japan","Yes","","","130.5","131.1","131.7","132.1","133.0","34307","Not available","Not available","Not available"
"Jordan","Yes","","1.94","14.7","14.0","13.8","18.9","18.0","0","0","Not available","Not available"
"Kazakhstan","","","3.52","","","","60.6","67.2","","","",""
"Kenya","","","1.47","","","","","","","","",""
"Kiribati","","","0.00","","18.6","","","","","","",""
"Kuwait","","","","20.4","20.4","20.4","20.4","22.0","","","",""
"Kyrgyzstan","","","2.63","","","","44.1","45.1","","","",""
"Lao People's Democratic Republic","","","2.25","","","","","","","","",""
"Latvia","","","1.56","55.7","57.2","56.9","56.6","58.0","","","",""
"Lebanon","Yes","","3.09","27.3","27.3","33.7","28.5","28.6","0","0","Not available","0"
"Liberia","","","0.37","","","","","","","","",""
"Libya","","","2.64","32.0","37.0","37.0","37.0","37.0","","","",""
"Lithuania","Yes","","2.15","65.6","66.9","69.7","72.6","73.1","Not available","157","956","Not available"
"Luxembourg","","","1.13","46.6","48.1","49.3","50.5","51.7","","","",""
"Madagascar","","","0.47","","","","","","","","",""
"Malawi","","","0.40","","","","","","","","",""
"Malaysia","Yes","","0.47","18.8","16.2","18.6","","","0","154","Not available","Not available"
"Maldives","Yes","","6.67","","","","","","0","0","Not available","Not available"
"Mali","","","0.46","","","","","","","","",""
"Malta","Yes","","0.93","44.9","46.7","45.9","45.9","47.8","Not available","Not available","Not available","Not available"
"Marshall Islands","","","3.80","","","","","","","","",""
"Mauritania","","","1.03","","","","","","","","",""
"Mauritius","Yes","","0.96","","","","","","Not available","Not available","Not available","Not available"
"Mexico","","","3.51","9.9","10.0","10.0","10.3","10.3","","","",""
